Country Name,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
IDA total,57.29998678,58.49241779,59.68484881,60.87727983,62.06971085,63.26214187,64.45457288,65.6470039,66.83943492,68.03186594,69.22429696,70.41672798,71.60915899
IDA blend,75.70262527,76.77909815,77.85557102,78.9320439,80.00851678,81.08498965,82.16146253,83.2379354,84.31440828,85.39088115,86.46735403,87.5438269,88.62029978
Indonesia,106.3361957,107.9044639,109.4727321,111.0410003,112.6092686,114.1775368,115.745805,117.3140732,118.8823414,120.4506097,122.0188779,123.5871461,125.1554143
IDA only,48.26621759,49.5244178,50.782618,52.04081821,53.29901842,54.55721863,55.81541883,57.07361904,58.33181925,59.59001946,60.84821966,62.10641987,63.36462008
Isle of Man,100,100,100,100,100,100,100,100,100,100,100,100,100
India,87.25331186,88.81220413,90.3710964,91.92998867,93.48888094,95.0477732,96.60666547,98.16555774,99.72445001,101.2833423,102.8422345,104.4011268,105.9600191
Ireland,100,100,100,100,100,100,100,100,100,100,100,100,100
"Iran, Islamic Rep.",100.46527,100.6273156,100.7893611,100.9514067,101.1134523,101.2754979,101.4375434,101.599589,101.7616346,101.9236801,102.0857257,102.2477713,102.4098169
Iraq,100.4588437,100.6965274,100.934211,101.1718947,101.4095784,101.6472621,101.8849458,102.1226295,102.3603131,102.5979968,102.8356805,103.0733642,103.3110479
Iceland,100,100,100,100,100,100,100,100,100,100,100,100,100
Israel,100,100,100,100,100,100,100,100,100,100,100,100,100
Italy,100,100,100,100,100,100,100,100,100,100,100,100,100
Jamaica,99.58506375,100.429627,101.2741902,102.1187534,102.9633166,103.8078799,104.6524431,105.4970063,106.3415695,107.1861328,108.030696,108.8752592,109.7198224
Jordan,100.3411316,100.4389684,100.5368053,100.6346421,100.7324789,100.8303157,100.9281525,101.0259894,101.1238262,101.221663,101.3194998,101.4173366,101.5151735
Japan,100,100,100,100,100,100,100,100,100,100,100,100,100
Kazakhstan,100.3097696,100.3898524,100.4699353,100.5500182,100.6301011,100.7101839,100.7902668,100.8703497,100.9504326,101.0305154,101.1105983,101.1906812,101.2707641
Kenya,43.20793986,44.71044163,46.21294339,47.71544516,49.21794692,50.72044868,52.22295045,53.72545221,55.22795398,56.73045574,58.23295751,59.73545927,61.23796104
Kyrgyz Republic,99.78727931,99.79963079,99.81198227,99.82433374,99.83668522,99.8490367,99.86138818,99.87373965,99.88609113,99.89844261,99.91079408,99.92314556,99.93549704
Cambodia,52.70000627,54.72913226,56.75825826,58.78738426,60.81651025,62.84563625,64.87476225,66.90388824,68.93301424,70.96214024,72.99126623,75.02039223,77.04951823
Kiribati,88.56456746,90.58911107,92.61365469,94.63819831,96.66274193,98.68728554,100.7118292,102.7363728,104.7609164,106.78546,108.8100036,110.8345472,112.8590909
St. Kitts and Nevis,101.4649089,101.9454762,102.4260435,102.9066108,103.3871782,103.8677455,104.3483128,104.8288802,105.3094475,105.7900148,106.2705821,106.7511495,107.2317168
"Korea, Rep.",100,100,100,100,100,100,100,100,100,100,100,100,100
Kuwait,100,100,100,100,100,100,100,100,100,100,100,100,100
Latin America & Caribbean (excluding high income),99.01831393,99.48004028,99.94176664,100.403493,100.8652193,101.3269457,101.7886721,102.2503984,102.7121248,103.1738511,103.6355775,104.0973038,104.5590302
Lao PDR,92.0769322,94.80702851,97.53712482,100.2672211,102.9973174,105.7274137,108.4575101,111.1876064,113.9177027,116.647799,119.3778953,122.1079916,124.8380879
Lebanon,100.421082,100.4936177,100.5661533,100.638689,100.7112246,100.7837603,100.856296,100.9288316,101.0013673,101.0739029,101.1464386,101.2189742,101.2915099
Liberia,11.67225537,12.23689644,12.80153751,13.36617858,13.93081965,14.49546071,15.06010178,15.62474285,16.18938392,16.75402499,17.31866606,17.88330713,18.44794819
Libya,98.2062385,98.13908774,98.07193699,98.00478623,97.93763547,97.87048472,97.80333396,97.73618321,97.66903245,97.6018817,97.53473094,97.46758019,97.40042943
St. Lucia,98.51785715,99.03625396,99.55465078,100.0730476,100.5914444,101.1098412,101.628238,102.1466348,102.6650317,103.1834285,103.7018253,104.2202221,104.7386189
Latin America & Caribbean,99.25707232,99.70499165,100.152911,100.6008303,101.0487496,101.496669,101.9445883,102.3925076,102.8404269,103.2883463,103.7362656,104.1841849,104.6321042
Least developed countries: UN classification,44.1122353,45.41772071,46.72320612,48.02869153,49.33417694,50.63966234,51.94514775,53.25063316,54.55611857,55.86160397,57.16708938,58.47257479,59.7780602
Low income,37.70035868,38.81400491,39.92765114,41.04129737,42.1549436,43.26858984,44.38223607,45.4958823,46.60952853,47.72317476,48.83682099,49.95046722,51.06411346
Liechtenstein,100,100,100,100,100,100,100,100,100,100,100,100,100
Sri Lanka,98.44275919,100.0571134,101.6714677,103.2858219,104.9001762,106.5145304,108.1288846,109.7432389,111.3575931,112.9719474,114.5863016,116.2006559,117.8150101
Lower middle income,85.85572638,87.20125849,88.54679061,89.89232272,91.23785483,92.58338695,93.92891906,95.27445117,96.61998328,97.9655154,99.31104751,100.6565796,102.0021117
Low & middle income,86.05731991,86.80150039,87.54568088,88.28986136,89.03404185,89.77822233,90.52240281,91.2665833,92.01076378,92.75494426,93.49912475,94.24330523,94.98748572
Lesotho,28.81608982,30.07398566,31.33188149,32.58977733,33.84767316,35.105569,36.36346483,37.62136067,38.8792565,40.13715234,41.39504817,42.65294401,43.91083984
Late-demographic dividend,100.8112938,101.1861622,101.5610306,101.935899,102.3107674,102.6856358,103.0605042,103.4353726,103.810241,104.1851094,104.5599778,104.9348463,105.3097147
Lithuania,100,100,100,100,100,100,100,100,100,100,100,100,100
Luxembourg,100,100,100,100,100,100,100,100,100,100,100,100,100
Latvia,100,100,100,100,100,100,100,100,100,100,100,100,100
"Macao SAR, China",100,100,100,100,100,100,100,100,100,100,100,100,100
St. Martin (French part),73.83700796,74.96342607,76.08984417,77.21626228,78.34268039,79.46909849,80.5955166,81.72193471,82.84835282,83.97477092,85.10118903,86.22760714,87.35402524
Morocco,106.4665636,108.5188377,110.5711119,112.623386,114.6756601,116.7279342,118.7802083,120.8324825,122.8847566,124.9370307,126.9893048,129.0415789,131.0938531
Monaco,100,100,100,100,100,100,100,100,100,100,100,100,100
Moldova,101.1997225,101.3929474,101.5861724,101.7793973,101.9726223,102.1658472,102.3590722,102.5522971,102.7455221,102.938747,103.1319719,103.3251969,103.5184218
Madagascar,20.3852015,20.76886638,21.15253125,21.53619612,21.91986099,22.30352586,22.68719073,23.0708556,23.45452047,23.83818534,24.22185021,24.60551508,24.98917996
Maldives,104.8374476,105.9329572,107.0284668,108.1239765,109.2194861,110.3149957,111.4105054,112.506015,113.6015247,114.6970343,115.7925439,116.8880536,117.9835632
Middle East & North Africa,99.62799901,100.0881124,100.5482257,101.0083391,101.4684525,101.9285658,102.3886792,102.8487926,103.308906,103.7690193,104.2291327,104.6892461,105.1493594
Mexico,100.7502537,100.9690545,101.1878552,101.406656,101.6254567,101.8442575,102.0630582,102.281859,102.5006597,102.7194605,102.9382613,103.157062,103.3758628
Marshall Islands,95.85704892,97.39694149,98.93683406,100.4767266,102.0166192,103.5565118,105.0964043,106.6362969,108.1761895,109.716082,111.2559746,112.7958672,114.3357598
Middle income,92.4523287,93.23611405,94.01989939,94.80368474,95.58747009,96.37125544,97.15504079,97.93882614,98.72261149,99.50639684,100.2901822,101.0739675,101.8577529
"Macedonia, FYR",101.0721847,101.2909126,101.5096404,101.7283683,101.9470961,102.165824,102.3845518,102.6032797,102.8220075,103.0407354,103.2594632,103.4781911,103.6969189
Mali,36.90726082,38.35324225,39.79922369,41.24520512,42.69118656,44.13716799,45.58314943,47.02913086,48.4751123,49.92109373,51.36707517,52.8130566,54.25903804
Malta,100,100,100,100,100,100,100,100,100,100,100,100,100
Myanmar,58.23493525,59.03019363,59.82545201,60.62071039,61.41596876,62.21122714,63.00648552,63.8017439,64.59700227,65.39226065,66.18751903,66.9827774,67.77803578
Middle East & North Africa (excluding high income),99.12522135,99.58450054,100.0437797,100.5030589,100.9623381,101.4216173,101.8808964,102.3401756,102.7994548,103.258734,103.7180132,104.1772923,104.6365715
Montenegro,100.1670002,100.2175076,100.2680151,100.3185226,100.3690301,100.4195376,100.470045,100.5205525,100.57106,100.6215675,100.6720749,100.7225824,100.7730899
Mongolia,82.4907431,82.99405067,83.49735825,84.00066583,84.5039734,85.00728098,85.51058855,86.01389613,86.51720371,87.02051128,87.52381886,88.02712643,88.53043401
Northern Mariana Islands,100,100,100,100,100,100,100,100,100,100,100,100,100
Mozambique,25.21757982,26.21693415,27.21628848,28.21564281,29.21499714,30.21435147,31.2137058,32.21306013,33.21241446,34.21176879,35.21112312,36.21047745,37.20983178
Mauritania,44.05286365,45.47519178,46.89751991,48.31984804,49.74217617,51.1645043,52.58683242,54.00916055,55.43148868,56.85381681,58.27614494,59.69847307,61.1208012
Mauritius,98.58926289,98.55844849,98.52763409,98.49681969,98.46600529,98.43519089,98.4043765,98.3735621,98.3427477,98.3119333,98.2811189,98.2503045,98.2194901
Malawi,11.06086409,11.40544458,11.75002507,12.09460555,12.43918604,12.78376653,13.12834702,13.47292751,13.81750799,14.16208848,14.50666897,14.85124946,15.19582994
Malaysia,100.9793598,101.2126638,101.4459678,101.6792718,101.9125758,102.1458798,102.3791838,102.6124878,102.8457918,103.0790958,103.3123998,103.5457038,103.7790078
North America,100,100,100,100,100,100,100,100,100,100,100,100,100
Namibia,53.46060973,54.45838739,55.45616505,56.45394272,57.45172038,58.44949804,59.44727571,60.44505337,61.44283103,62.44060869,63.43838636,64.43616402,65.43394168
New Caledonia,100,100,100,100,100,100,100,100,100,100,100,100,100
Niger,16.90919619,17.42043121,17.93166623,18.44290126,18.95413628,19.46537131,19.97660633,20.48784135,20.99907638,21.5103114,22.02154642,22.53278145,23.04401647
Nigeria,60.27049803,61.25447005,62.23844206,63.22241408,64.2063861,65.19035811,66.17433013,67.15830215,68.14227416,69.12624618,70.1102182,71.09419021,72.07816223
Nicaragua,82.59363923,83.1462373,83.69883537,84.25143343,84.8040315,85.35662957,85.90922764,86.4618257,87.01442377,87.56702184,88.1196199,88.67221797,89.22481604
Netherlands,100,100,100,100,100,100,100,100,100,100,100,100,100
Norway,100,100,100,100,100,100,100,100,100,100,100,100,100
Nepal,96.67220674,100.4318281,104.1914496,107.951071,111.7106924,115.4703138,119.2299352,122.9895566,126.749178,130.5087994,134.2684208,138.0280422,141.7876636
Nauru,98.99416193,98.95085722,98.9075525,98.86424779,98.82094307,98.77763836,98.73433364,98.69102893,98.64772422,98.6044195,98.56111479,98.51781007,98.47450536
New Zealand,100,100,100,100,100,100,100,100,100,100,100,100,100
OECD members,100.1958897,100.2413386,100.2867875,100.3322364,100.3776852,100.4231341,100.468583,100.5140319,100.5594808,100.6049296,100.6503785,100.6958274,100.7412763
Oman,100,100,100,100,100,100,100,100,100,100,100,100,100
Other small states,73.78271737,74.90699554,76.03127371,77.15555189,78.27983006,79.40410823,80.52838641,81.65266458,82.77694276,83.90122093,85.0254991,86.14977728,87.27405545
Pakistan,101.7582557,103.2412929,104.7243301,106.2073673,107.6904045,109.1734417,110.6564789,112.1395161,113.6225533,115.1055905,116.5886277,118.0716649,119.5547021
Panama,94.67645887,95.45869297,96.24092708,97.02316119,97.8053953,98.58762941,99.36986352,100.1520976,100.9343317,101.7165658,102.4987999,103.2810341,104.0632682
Peru,97.11541529,98.42233871,99.72926213,101.0361856,102.343109,103.6500324,104.9569558,106.2638793,107.5708027,108.8777261,110.1846495,111.491573,112.7984964
