Country Name,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Equatorial Guinea,90.60102225,90.60150485,90.60198744,90.60247004,90.60295263,90.60343523,90.60391782,90.60440042,90.60488301,90.60536561,90.6058482,90.60633079,90.60681339
Greece,110.780849,111.5916829,112.4025167,113.2133506,114.0241845,114.8350183,115.6458522,116.4566861,117.2675199,118.0783538,118.8891877,119.7000215,120.5108554
Grenada,107.9184737,106.9022355,105.8859974,104.8697592,103.853521,102.8372828,101.8210447,100.8048065,99.78856829,98.77233011,97.75609194,96.73985376,95.72361558
Greenland,109.8825052,110.5614521,111.240399,111.9193459,112.5982928,113.2772397,113.9561866,114.6351335,115.3140804,115.9930273,116.6719742,117.3509211,118.029868
Guatemala,132.5785996,134.9490061,137.3194126,139.6898192,142.0602257,144.4306322,146.8010387,149.1714453,151.5418518,153.9122583,156.2826648,158.6530713,161.0234779
Guam,106.7731252,107.8456161,108.9181071,109.990598,111.0630889,112.1355798,113.2080708,114.2805617,115.3530526,116.4255435,117.4980345,118.5705254,119.6430163
Guyana,116.5771753,117.5882902,118.5994051,119.61052,120.6216349,121.6327498,122.6438647,123.6549796,124.6660945,125.6772094,126.6883243,127.6994392,128.7105541
High income,112.5196728,113.5276549,114.535637,115.5436191,116.5516012,117.5595833,118.5675654,119.5755475,120.5835297,121.5915118,122.5994939,123.607476,124.6154581
"Hong Kong SAR, China",66.95629814,64.64221381,62.32812949,60.01404517,57.69996084,55.38587652,53.07179219,50.75770787,48.44362354,46.12953922,43.81545489,41.50137057,39.18728624
Honduras,115.1232978,116.6386033,118.1539088,119.6692143,121.1845198,122.6998253,124.2151308,125.7304363,127.2457418,128.7610473,130.2763528,131.7916583,133.3069638
Heavily indebted poor countries (HIPC),126.2049335,128.0483232,129.8917129,131.7351026,133.5784923,135.4218821,137.2652718,139.1086615,140.9520512,142.7954409,144.6388306,146.4822203,148.32561
Haiti,131.1971113,132.3282967,133.4594821,134.5906674,135.7218528,136.8530382,137.9842235,139.1154089,140.2465943,141.3777797,142.508965,143.6401504,144.7713358
Hungary,97.89349024,97.94705892,98.0006276,98.05419627,98.10776495,98.16133363,98.2149023,98.26847098,98.32203966,98.37560833,98.42917701,98.48274569,98.53631436
IBRD only,122.5399641,124.5197551,126.499546,128.479337,130.459128,132.438919,134.4187099,136.3985009,138.3782919,140.3580828,142.3378738,144.3176648,146.2974557
IDA & IBRD total,123.5995731,125.5913025,127.5830319,129.5747613,131.5664907,133.5582201,135.5499495,137.5416789,139.5334084,141.5251378,143.5168672,145.5085966,147.500326
IDA total,122.2415563,124.1152783,125.9890003,127.8627223,129.7364443,131.6101663,133.4838883,135.3576103,137.2313323,139.1050543,140.9787763,142.8524983,144.7262203
IDA blend,123.4023253,125.4111581,127.4199909,129.4288236,131.4376564,133.4464892,135.4553219,137.4641547,139.4729875,141.4818202,143.490653,145.4994858,147.5083185
Indonesia,131.9480851,134.2185105,136.4889359,138.7593613,141.0297867,143.3002121,145.5706375,147.8410629,150.1114883,152.3819137,154.6523391,156.9227645,159.1931899
IDA only,125.6193492,127.513179,129.4070088,131.3008386,133.1946684,135.0884982,136.982328,138.8761579,140.7699877,142.6638175,144.5576473,146.4514771,148.3453069
India,133.3462758,135.4027658,137.4592558,139.5157458,141.5722358,143.6287257,145.6852157,147.7417057,149.7981957,151.8546857,153.9111756,155.9676656,158.0241556
Ireland,117.8565727,118.9388536,120.0211345,121.1034154,122.1856963,123.2679773,124.3502582,125.4325391,126.51482,127.5971009,128.6793818,129.7616627,130.8439437
"Iran, Islamic Rep.",117.2813135,119.3257587,121.370204,123.4146492,125.4590945,127.5035397,129.547985,131.5924302,133.6368755,135.6813207,137.725766,139.7702112,141.8146565
Iraq,115.3741159,116.382391,117.3906661,118.3989412,119.4072163,120.4154914,121.4237665,122.4320417,123.4403168,124.4485919,125.456867,126.4651421,127.4734172
Iceland,106.2433907,106.525025,106.8066594,107.0882937,107.369928,107.6515623,107.9331966,108.2148309,108.4964652,108.7780995,109.0597338,109.3413682,109.6230025
Israel,115.2935088,116.8404982,118.3874876,119.934477,121.4814664,123.0284558,124.5754452,126.1224346,127.669424,129.2164134,130.7634028,132.3103923,133.8573817
Italy,101.9443768,102.281553,102.6187292,102.9559054,103.2930816,103.6302578,103.967434,104.3046103,104.6417865,104.9789627,105.3161389,105.6533151,105.9904913
Jamaica,108.0198809,108.7011904,109.3824999,110.0638094,110.7451189,111.4264285,112.107738,112.7890475,113.470357,114.1516666,114.8329761,115.5142856,116.1955951
Jordan,124.4646377,126.6074341,128.7502305,130.893027,133.0358234,135.1786198,137.3214163,139.4642127,141.6070091,143.7498056,145.892602,148.0353984,150.1781949
Japan,107.7554926,108.0225916,108.2896906,108.5567896,108.8238886,109.0909877,109.3580867,109.6251857,109.8922847,110.1593837,110.4264828,110.6935818,110.9606808
Kenya,123.2117331,125.1829662,127.1541993,129.1254324,131.0966654,133.0678985,135.0391316,137.0103647,138.9815978,140.9528309,142.9240639,144.895297,146.8665301
Cambodia,138.37481,140.767231,143.1596519,145.5520728,147.9444937,150.3369147,152.7293356,155.1217565,157.5141774,159.9065983,162.2990193,164.6914402,167.0838611
Kiribati,86.73847491,87.44867745,88.15887999,88.86908253,89.57928507,90.28948761,90.99969015,91.70989269,92.42009523,93.13029776,93.8405003,94.55070284,95.26090538
St. Kitts and Nevis,50.92423962,47.34596929,43.76769896,40.18942863,36.6111583,33.03288798,29.45461765,25.87634732,22.29807699,18.71980667,15.14153634,11.56326601,7.984995682
"Korea, Rep.",122.0886325,123.7774118,125.4661911,127.1549704,128.8437497,130.532529,132.2213083,133.9100876,135.598867,137.2876463,138.9764256,140.6652049,142.3539842
Kuwait,150.5389684,153.5625593,156.5861503,159.6097412,162.6333321,165.6569231,168.680514,171.7041049,174.7276959,177.7512868,180.7748778,183.7984687,186.8220596
